"Indicator type","Indicator","Description"
"FileHash-SHA1","3a852c006085d0ce8a18063e17f525e950bb914c",""
"FileHash-SHA1","4202bf2408750589e36750d077746266176ac239",""
"FileHash-SHA1","75b2593da627472b1c990f244e24d4e971c939e7",""
"FileHash-SHA256","4a2e23d604d2d2774df43b5c539f9726c6033db55b483c49e4e84314265f6f6e",""
"IPv4","105.184.161.242","CC=ZA ASN=AS37457 Telkom-Internet"
"IPv4","108.177.235.29","CC=US ASN=AS395954 LEASEWEB-USA-LAX"
"IPv4","108.62.118.197","CC=US ASN=AS30633 LEASEWEB-USA-WDC"
"IPv4","131.106.168.223","CC=US ASN=AS6079 RCN-AS"
"IPv4","137.186.193.226","CC=CA ASN=AS852 TELUS Communications"
"IPv4","142.161.27.232","CC=CA ASN=AS7122 MTS-ASN"
"IPv4","144.202.42.216","CC=US ASN=AS20473 AS-CHOOPA"
"IPv4","157.231.42.190","CC=GB ASN=AS31655 Gamma Telecom Holdings Ltd"
"IPv4","170.253.25.35","CC=ES ASN=AS15704 Xtra Telecom S.A."
"IPv4","172.90.139.138","CC=US ASN=AS20001 TWC-20001-PACWEST"
"IPv4","174.115.87.57","CC=CA ASN=AS812 ROGERS-COMMUNICATIONS"
"IPv4","180.151.104.143","CC=IN ASN=AS10029 SHYAM SPECTRA PVT LTD"
"IPv4","200.93.14.206","CC=VE ASN=AS8048 CANTV Servicios, Venezuela"
"IPv4","24.49.232.96","CC=CA ASN=AS11290 CC-3272"
"IPv4","24.64.114.59","CC=CA ASN=AS6327 SHAW"
"IPv4","70.50.3.214","CC=CA ASN=AS577 BACOM"
"IPv4","70.64.77.115","CC=CA ASN=AS6327 SHAW"
"IPv4","73.88.173.113","CC=US ASN=AS7922 COMCAST-7922"
"IPv4","75.143.236.149","CC=US ASN=AS20115 CHARTER-20115"
"IPv4","75.98.154.19","CC=US ASN=AS32444 ANTHEMBB"
"IPv4","76.9.168.249","CC=US ASN=AS30264 COLUMBIAPWS"
"IPv4","82.127.174.33","CC=FR ASN=AS3215 Orange"
"IPv4","82.31.37.241","CC=GB ASN=AS5089 Virgin Media Limited"
"IPv4","82.41.186.124","CC=GB ASN=AS5089 Virgin Media Limited"
"IPv4","84.209.52.11","CC=NO ASN=AS41164 Telia Norge AS"
"IPv4","86.133.237.3","CC=GB ASN=AS2856 British Telecommunications PLC"
"IPv4","87.223.80.45","CC=ES ASN=AS12479 Orange Espagne SA"
"IPv4","90.89.95.158","CC=FR ASN=AS3215 Orange"
"IPv4","91.165.188.74","CC=FR ASN=AS12322 Free SAS"
"IPv4","92.189.214.236","CC=ES ASN=AS12479 Orange Espagne SA"
"IPv4","92.207.132.174","CC=GB ASN=AS31655 Gamma Telecom Holdings Ltd"
"IPv4","94.70.37.145","CC=GR ASN=AS6799 OTEnet S.A."
"URL","https://aazsbsgya565vlu2c6bzy6yfiebkcbtvvcytvolt33s77xypi7nypxyd.onion",""
"domain","aazsbsgya565vlu2c6bzy6yfiebkcbtvvcytvolt33s77xypi7nypxyd.onion",""
"domain","dimingol.com",""
"domain","jesofidiwi.com",""
"domain","tevokaxol.com",""
"domain","vopaxafi.com",""
