"Indicator type","Indicator","Description"
"hostname","tor-exit-anonymizer-08.appliedprivacy.net",""
"hostname","static.84.79.76.144.clients.your-server.de",""
"hostname","tor-exit-proxy.donategrid.com",""
"hostname","tor-exit-anonymizer-03.appliedprivacy.net",""
"hostname","str1-nbg.sblo.ch",""
"hostname","tor-proxy-06.for-privacy.net",""
"hostname","phaeton.fscore.de",""
"hostname","ns340204.ip-5-39-69.eu",""
"hostname","v22019057958990562.hotsrv.de",""
"hostname","static.105.142.216.95.clients.your-server.de",""
"hostname","static.29.44.9.5.clients.your-server.de",""
"hostname","loft9385.serverprofi24.com",""
"hostname","e82-103-140-87s.cust.easyspeedy.com",""
"hostname","51-15-18-163.rev.poneytelecom.eu",""
"hostname","tor5.pub.t4cc0.re",""
"hostname","66-206-0-146.static.hvvc.us",""
"hostname","38.georgeorwell.de",""
"hostname","tollana.enn.lu",""
"hostname","tor-exit-anonymizer-04.appliedprivacy.net",""
"hostname","tor5e1.digitale-gesellschaft.ch",""
"hostname","tor42.quintex.com",""
"hostname","ip-54-36-205-38.ddhosts.net",""
"hostname","no-rdns.mykone.info",""
"hostname","relay.virtualkitchen.org",""
"hostname","ns3079937.ip-217-182-196.eu",""
"hostname","marylou.nos-oignons.net",""
"hostname","tor20.quintex.com",""
"hostname","tor-exit-readme.torturing.de",""
"hostname","wedjat.horus-it.com",""
"hostname","static.11.67.69.159.clients.your-server.de",""
"hostname","tor-proxy-09.for-privacy.net",""
"hostname","fastlane.apk.li",""
"hostname","550ac32b.retik.eu",""
"hostname","212-129-5-219.rev.poneytelecom.eu",""
"hostname","ns3128207.ip-51-68-206.eu",""
"hostname","nobody.yourvserver.net",""
"hostname","eos.fscore.de",""
"hostname","8ac97a37.retik.eu",""
"hostname","static.205.175.76.144.clients.your-server.de",""
"hostname","cry.ip-eend.nl",""
"hostname","185-171-130-240.skpnet.nl",""
"hostname","l105-tor.berlin.freifunk.net",""
"hostname","tor.zim.uni-due.de",""
"hostname","kiriakou.tor-exit.calyxinstitute.org",""
"hostname","station57.ueno.red",""
"hostname","mail.sdmjc.net",""
"hostname","tor.freemirror.org",""
"hostname","ip157.ip-51-38-164.eu",""
"hostname","server984.seedhost.eu",""
"hostname","62-210-181-119.rev.poneytelecom.eu",""
"hostname","greyponyitnyc001.greyponyit.com",""
"hostname","tor-proxy-08.for-privacy.net",""
"hostname","tor-exit-anonymizer-09.appliedprivacy.net",""
"hostname","tor-proxy-04.for-privacy.net",""
"hostname","ip107.ip-167-114-35.net",""
"hostname","195-154-181-146.rev.poneytelecom.eu",""
"hostname","tor-exit-node.1.privacyrepublic.org",""
"hostname","ip176.ip-5-39-33.eu",""
"hostname","193.emeraldonion.org",""
"hostname","36-89-15-51.rev.cloud.scaleway.com",""
"hostname","ns3126421.ip-54-36-166.eu",""
"hostname","rosaluxemburg.tor-exit.calyxinstitute.org",""
"hostname","ns3079940.ip-217-182-196.eu",""
"hostname","tor3.quadhead.de",""
"hostname","ns542132.ip-144-217-255.net",""
"hostname","163-172-209-161.rev.poneytelecom.eu",""
"hostname","tor-exit.r1.darknet.dev",""
"hostname","static.58.53.9.176.clients.your-server.de",""
"hostname","100.emeraldonion.org",""
"hostname","static.29.131.243.136.clients.your-server.de",""
"hostname","tor-exit-node.7by7.de",""
"hostname","odin.relay.ulayer.is",""
"hostname","static.165.57.76.144.clients.your-server.de",""
"hostname","snowden.tor-exit.calyxinstitute.org",""
"hostname","lu1.exit.tor.alkyl.eu.org",""
"hostname","163-172-53-201.rev.poneytelecom.eu",""
"hostname","163-172-104-221.rev.poneytelecom.eu",""
"hostname","tor-exit-hermes.greektor.net",""
"hostname","tor18.quintex.com",""
"hostname","static.164.148.9.5.clients.your-server.de",""
"hostname","ns3104827.ip-54-36-164.eu",""
"hostname","181-125-15-51.rev.cloud.scaleway.com",""
"hostname","lotor.mcl.gg",""
"hostname","this.is.a.tor.exit.node.zzif.net",""
"hostname","tor-exit-anonymizer-05.appliedprivacy.net",""
"hostname","xe-0-0-19-2-279.a00.frnkge13.de.ce.gin.ntt.net",""
"hostname","heron.bruckbu.de",""
"hostname","82-197-218-97.dsl.cambrium.nl",""
"hostname","static.148.176.243.136.clients.your-server.de",""
"hostname","static.131.40.9.176.clients.your-server.de",""
"hostname","vps1637260.vs.webtropia-customer.com",""
"hostname","static.104.22.251.148.clients.your-server.de",""
"hostname","ns3079934.ip-217-182-196.eu",""
"hostname","tor1.gerger-net.de",""
"hostname","onion2.shelldog.de",""
"hostname","chomsky.torservers.net",""
"hostname","c-8bb2e655.019-3-6d6c6d4.bbcust.telenor.se",""
"hostname","tor.opuslogica.com",""
