"Indicator type","Indicator","Description"
"URL","http://www.vaulthosttower.com/nZdW1Egfu3mhO0fHhwgYy5bZIgbFUHLsoqzLThC6oWzFJsEjEyWb7fT9PEJxfAN8ClFpVyPtqywgo2yRLCLUeqX21Vj1t2BpB6W94zM06_LV1KTCu97aV2ccwZL5BHUb4f2QSVckdv4CrRw5rsmWnvnrFKsM6oLVukVPkwcRXe5iUEFMsbZ9yva6HvKRS5pbl6hjuTg7LbMReTPLCU7iP66YD6K+_vnP2",""
"URL","http://abisource.org/",""
"URL","http://abisource.org/downloads/abiword/2.8.6/Windows/abiword-setup-2.8.6.exe",""
"URL","http://www.abisource.org/downloads/abiword/2.8.6/Windows/abiword-setup-2.8.6.exe",""
"URL","http://abiword.com",""
"URL","http://abiword.com/",""
"URL","http://www.abiword.com/",""
"URL","http://www.abiword.com/downloads/abiword/2.6.2/Windows/abiword-setup-2.6.2.exe",""
"URL","http://www.abiword.com/downloads/abiword/2.8.6/Windows/abiword-setup-2.8.6.exe",""
"URL","http://bugzilla.abisource.com/enter_bug.cgi?product=AbiWord",""
"URL","http://abisource.com/mailinglists/abiword-dev/2003/aug/att-0121/01-your_document.pif",""
"URL","http://abisource.com/mailinglists/abiword-dev/2003/aug/att-0125/01-details.pif",""
"URL","http://www.abisource.com",""
"URL","http://www.abisource.com.",""
"URL","http://www.abisource.com/2004/xhtml",""
"URL","http://www.abisource.com/changetracking.dtd",""
"URL","http://www.abisource.com/download/",""
"URL","http://www.abisource.com/downloads/dependencies/libxml2/libxml2-2.6.19-runtime.zip",""
"URL","http://www.abisource.com/help/",""
"URL","http://www.abisource.com/mailmerge/1.0",""
"URL","http://www.abisource.com/projects/link",""
"URL","http://www.abisource.com/users/check_version.phtml?version=",""
"URL","https://www.abisource.com/2004/xhtml-awml/xhtml-awml.mod",""
"URL","https://www.abisource.com/mailinglists/abiword-dev/2003/aug/att-0121/01-your_document.pif",""
"URL","https://www.abisource.com/mailinglists/abiword-dev/2003/aug/att-0125/01-details.pif",""
"URL","https://www.abisource.com/wiki/FAQ",""
"hostname","backoffice.sitia.gr",""
"hostname","cpcalendars.tennis.sitia.gr",""
"hostname","cpcontacts.tennis.sitia.gr",""
"hostname","eservices.sitia.gr",""
"hostname","ids.sitia.gr",""
"hostname","tennis.sitia.gr",""
"hostname","www.tennis.sitia.gr",""
"hostname","bibliotheques.breslemaritime.fr",""
"hostname","www.abisource.org",""
"hostname","www.abiword.com",""
"hostname","www.nl.abisource.com",""
"domain","sklavenitis.com",""
"domain","wcp2013.gr",""
"hostname","ns2.otenet.net",""
"hostname","ns2.otenet.gr",""
"URL","http://195.170.2.1/",""
"domain","anatolikimani.gov.gr",""
"domain","sitia.gr",""
"domain","uoc.gr",""
"hostname","bo.anatolikimani.gov.gr",""
"hostname","en.uoc.gr",""
"hostname","25years.uoc.gr",""
"hostname","www.analytical-chemistry.uoc.gr",""
"hostname","www.anatolikimani.gov.gr",""
"hostname","www.en.uoc.gr",""
"hostname","www.history-archaeology.uoc.gr",""
"hostname","www.sitia.gr",""
"hostname","www.uoc.gr",""
"hostname","www.wcp2013.gr",""
"URL","http://147.52.80.32",""
"URL","http://25years.uoc.gr/uoc.pps",""
"URL","http://en.uoc.gr/",""
"URL","http://sitia.gr/",""
"URL","http://www.analytical-chemistry.uoc.gr/files/items/6/618/agwgimometria_1.pdf",""
"URL","http://www.analytical-chemistry.uoc.gr/files/items/6/638/pittcon05_fluor.pdf",""
"URL","http://www.anatolikimani.gov.gr",""
"URL","http://www.anatolikimani.gov.gr/",""
"URL","http://www.en.uoc.gr/",""
"URL","http://www.en.uoc.gr/studies-at-uni/Contacts/contacts.html",""
"URL","http://www.en.uoc.gr/university/access",""
"URL","http://www.history-archaeology.uoc.gr/anouncements/general",""
"URL","http://www.history-archaeology.uoc.gr/el/undergraduate-studies/academic/academic-year.html",""
"URL","http://www.history-archaeology.uoc.gr/files/items/2/2588/graduates_list_july_2015.pdf",""
"URL","http://www.sitia.gr/",""
"URL","http://www.sitia.gr/en",""
"URL","http://www.sitia.gr/en/",""
"URL","http://www.sitia.gr/visitor/weather/kairos.html",""
"URL","http://www.uoc.gr/index3.cfm.htm",""
"URL","http://www.uoc.gr/university/map/uocgallosmap.html",""
"domain","breslemaritime.com",""
"domain","breslemaritime.fr",""
"domain","cc-breslemaritime.fr",""
"domain","orcca.asso.fr",""
"domain","orcca.fr",""
"hostname","admin.orcca.fr",""
"hostname","tourisme.breslemaritime.com",""
"hostname","tourisme.breslemaritime.fr",""
"hostname","www.breslemaritime.fr",""
"hostname","www.orcca.asso.fr",""
"hostname","www.tourisme.breslemaritime.fr",""
