"Indicator type","Indicator","Description"
"URL","https://moonbeam.network/announcements/kar-token-live-on-moonriver/",""
"URL","https://frag-moonriver-rpc-ws-ws.g.moonriver.moonbeam.network",""
"URL","https://frag-moonbase-sm-rpc.g.moonbase.moonbeam.network",""
"URL","https://frag-moonbase-sm-rpc-ws.g.moonbase.moonbeam.network",""
"URL","https://blockscout.moonriver.moonbeam.network",""
"URL","https://apps.moonbeam.network",""
"URL","http://roadmap.moonbeam.network",""
"URL","http://request.moonbeam.network",""
"URL","http://new-staging.multisig.moonbeam.network",""
"URL","http://mtlg-moonriver-rpc-ws-ws.g.moonriver.moonbeam.network",""
"URL","http://frag-moonriver-rpc-ws-ws.g.moonriver.moonbeam.network",""
"URL","http://frag-moonbase-sm-rpc.g.moonbase.moonbeam.network",""
"URL","http://frag-moonbase-sm-rpc-ws.g.moonbase.moonbeam.network",""
"URL","http://blockscout.moonriver.moonbeam.network",""
"URL","http://apps.moonbeam.network",""
"URL","https://www.jula.no/catalog/hage/hageredskaper/hagestell/ljaer/lja-701030/",""
"URL","https://www.jula.no/catalog/bygg-og-maling/oppvarming-og-ventilasjon/ovner-og-apne-peiser/vedkurver/vedoppbevaring-391047?gclid=EAIaIQobChMImOrUvcXS6wIVHRd7Ch08ywpAEAQYAyABEgLgNPD_BwE&gclsrc=aw.ds",""
"URL","https://www.jula.no/catalog/bygg-og-maling/oppbevaring/oppbevaringshyller-skuffer/flyttebokser/",""
"URL","https://systest3.jula.no",""
"URL","https://staging.historia.jula.no",""
"URL","https://signicat.jula.no",""
"URL","https://prep.jula.no",""
"URL","https://int.jula.no",""
"URL","https://historia.jula.no",""
"URL","https://beta.jula.no",""
"URL","http://www.jula.no/",""
"URL","http://systest3.jula.no",""
"URL","http://staging.historia.jula.no",""
"URL","http://signicat.jula.no",""
"URL","http://prep.jula.no",""
"URL","http://int.jula.no",""
"URL","http://historia.jula.no",""
"URL","http://beta.jula.no",""
"URL","https://qa-se-4bj-caecom-0000-sistest150622.az.ssdgws.co.uk",""
"URL","https://qa-nz-4bj-caecom-0000-sistest150622.az.ssdgws.co.uk",""
"URL","https://qa-no-idx-fbmvp-10211-auseoandpageschema.az.ssdgws.co.uk",""
"URL","https://qa-nl-4bj-caecom-0000-sistest150622.az.ssdgws.co.uk",""
"URL","https://qa-gb-8nx-fixabp-19-unset-log-to-deliver.az.ssdgws.co.uk",""
"URL","https://qa-fi-red-caecom-2750-updatepaymentquant.az.ssdgws.co.uk",""
"URL","https://qa-fi-nkp-caecom-2340-fix-account-integr.az.ssdgws.co.uk",""
"URL","https://qa-fi-4bj-caecom-0000-sistest150622.az.ssdgws.co.uk",""
"URL","https://qa-ca-vxl-caecom-2707-welcomebackerrorha.az.ssdgws.co.uk",""
"URL","https://qa-au-thu-ecrp-9108-sisendpointssetup.az.ssdgws.co.uk",""
"URL","http://qa-se-4bj-caecom-0000-sistest150622.az.ssdgws.co.uk",""
"URL","http://qa-nz-4bj-caecom-0000-sistest150622.az.ssdgws.co.uk",""
"URL","http://qa-no-idx-fbmvp-10211-auseoandpageschema.az.ssdgws.co.uk",""
