"Indicator type","Indicator","Description"
"IPv4","108.58.144.234",""
"IPv4","108.6.139.204",""
"IPv4","108.61.166.134",""
"IPv4","108.61.171.224",""
"IPv4","108.61.182.74",""
"IPv4","108.61.202.85",""
"IPv4","108.61.208.98",""
"IPv4","108.61.250.38",""
"IPv4","108.61.96.230",""
"IPv4","108.61.99.149",""
"IPv4","108.62.123.92",""
"IPv4","108.62.211.205",""
"IPv4","108.84.135.63",""
"IPv4","108.85.99.10",""
"IPv4","109.105.109.162",""
"IPv4","109.106.50.32",""
"IPv4","109.107.35.154",""
"IPv4","109.111.178.181",""
"IPv4","109.111.19.45",""
"IPv4","109.122.18.224",""
"IPv4","109.130.41.97",""
"IPv4","109.136.135.193",""
"IPv4","109.15.43.86",""
"IPv4","109.167.129.139",""
"IPv4","109.169.33.163",""
"IPv4","109.169.86.118",""
"IPv4","109.186.0.109",""
"IPv4","109.186.133.57",""
"IPv4","109.192.140.37",""
"IPv4","109.192.161.249",""
"IPv4","109.192.18.69",""
"IPv4","109.192.225.141",""
"IPv4","109.193.241.207",""
"IPv4","109.195.183.171",""
"IPv4","109.198.172.27",""
"IPv4","109.201.133.100",""
"IPv4","109.201.142.53",""
"IPv4","109.214.15.203",""
"IPv4","109.230.236.89",""
"IPv4","109.235.37.47",""
"IPv4","109.236.83.11",""
"IPv4","109.236.84.72",""
"IPv4","109.236.86.109",""
"IPv4","109.236.88.9",""
"IPv4","109.236.90.209",""
"IPv4","109.238.11.6",""
"IPv4","109.238.2.40",""
"IPv4","109.238.92.84",""
"IPv4","109.239.49.192",""
"IPv4","109.239.79.181",""
"IPv4","109.24.157.46",""
"IPv4","109.248.11.42",""
"IPv4","109.248.43.30",""
"IPv4","109.250.149.2",""
"IPv4","109.250.157.196",""
"IPv4","109.252.191.198",""
"IPv4","109.63.160.124",""
"IPv4","109.68.191.132",""
"IPv4","109.68.191.159",""
"IPv4","109.69.67.17",""
"IPv4","109.70.100.10",""
"IPv4","109.70.100.11",""
"IPv4","109.70.100.12",""
