"Indicator type","Indicator","Description"
"IPv4","109.107.35.154",""
"IPv4","109.115.92.46",""
"IPv4","109.117.217.2",""
"IPv4","109.120.18.176",""
"IPv4","109.122.12.69",""
"IPv4","109.132.175.203",""
"IPv4","109.15.43.86",""
"IPv4","109.169.33.163",""
"IPv4","109.169.86.118",""
"IPv4","109.173.41.42",""
"IPv4","109.173.54.217",""
"IPv4","109.190.93.217",""
"IPv4","109.192.140.37",""
"IPv4","109.192.18.69",""
"IPv4","109.193.197.55",""
"IPv4","109.193.58.61",""
"IPv4","109.195.183.171",""
"IPv4","109.195.243.66",""
"IPv4","109.198.172.67",""
"IPv4","109.200.191.53",""
"IPv4","109.201.133.100",""
"IPv4","109.201.142.53",""
"IPv4","109.218.130.112",""
"IPv4","109.230.236.89",""
"IPv4","109.235.37.47",""
"IPv4","109.236.83.11",""
"IPv4","109.236.84.72",""
"IPv4","109.236.86.109",""
"IPv4","109.236.88.9",""
"IPv4","109.236.90.209",""
"IPv4","109.238.11.6",""
"IPv4","109.238.2.40",""
"IPv4","109.238.92.84",""
"IPv4","109.239.49.192",""
"IPv4","109.239.79.181",""
"IPv4","109.24.157.46",""
"IPv4","109.248.11.32",""
"IPv4","109.248.43.30",""
"IPv4","109.250.130.234",""
"IPv4","109.250.150.87",""
"IPv4","109.250.245.64",""
"IPv4","109.252.144.148",""
"IPv4","109.63.251.84",""
"IPv4","109.68.191.132",""
"IPv4","109.68.191.159",""
"IPv4","109.69.67.17",""
"IPv4","109.70.100.10",""
"IPv4","109.70.100.11",""
"IPv4","109.70.100.12",""
"IPv4","109.70.100.13",""
"IPv4","109.70.100.14",""
"IPv4","109.70.100.15",""
"IPv4","109.70.100.2",""
"IPv4","109.70.100.3",""
"IPv4","109.70.100.4",""
"IPv4","109.70.100.5",""
"IPv4","109.70.100.6",""
"IPv4","109.70.100.7",""
"IPv4","109.70.100.8",""
"IPv4","109.70.100.9",""
"IPv4","109.72.83.220",""
"IPv4","109.74.11.81",""
"IPv4","109.74.203.71",""
"IPv4","109.74.206.21",""
"IPv4","109.74.208.103",""
"IPv4","109.87.25.148",""
"IPv4","109.90.183.71",""
"IPv4","109.92.182.91",""
"IPv4","109.94.25.229",""
"IPv4","110.134.177.14",""
"IPv4","110.141.223.194",""
"IPv4","110.175.99.67",""
"IPv4","110.4.47.139",""
"IPv4","111.216.92.93",""
"IPv4","111.69.167.3",""
"IPv4","111.69.49.124",""
"IPv4","111.69.87.191",""
"IPv4","111.90.140.7",""
"IPv4","111.90.145.126",""
"IPv4","113.20.31.45",""
"IPv4","114.165.137.21",""
"IPv4","114.198.123.59",""
"IPv4","114.23.146.87",""
"IPv4","114.23.207.85",""
"IPv4","114.24.142.15",""
"IPv4","114.29.135.78",""
"IPv4","114.32.35.232",""
"IPv4","114.34.196.84",""
"IPv4","115.146.127.224",""
"IPv4","115.70.103.172",""
"IPv4","115.73.19.17",""
"IPv4","116.12.50.221",""
"IPv4","116.202.16.249",""
"IPv4","116.202.19.174",""
"IPv4","116.203.117.220",""
"IPv4","116.203.124.242",""
"IPv4","116.203.135.179",""
"IPv4","116.203.136.162",""
"IPv4","116.203.16.50",""
"IPv4","116.203.40.245",""
"IPv4","116.203.44.87",""
"IPv4","116.203.50.182",""
"IPv4","116.203.61.45",""
"IPv4","116.203.64.212",""
"IPv4","116.203.66.164",""
"IPv4","116.203.68.217",""
"IPv4","116.203.70.136",""
"IPv4","116.203.84.151",""
"IPv4","116.203.88.24",""
"IPv4","116.203.93.236",""
"IPv4","116.240.90.221",""
"IPv4","116.49.203.2",""
"IPv4","118.127.108.136",""
"IPv4","118.159.26.253",""
"IPv4","118.163.74.160",""
"IPv4","118.211.144.208",""
"IPv4","119.235.249.136",""
"IPv4","119.236.50.147",""
"IPv4","119.30.219.119",""
"IPv4","119.59.110.192",""
"IPv4","119.82.102.226",""
"IPv4","12.235.151.200",""
"IPv4","120.137.141.83",""
"IPv4","120.149.208.65",""
"IPv4","120.29.123.176",""
"IPv4","121.118.198.161",""
"IPv4","121.208.44.101",""
"IPv4","121.214.136.233",""
"IPv4","121.44.194.125",""
"IPv4","121.99.219.228",""
"IPv4","122.252.153.13",""
"IPv4","122.58.209.114",""
"IPv4","123.211.68.29",""
"IPv4","123.30.128.138",""
"IPv4","124.109.1.207",""
"IPv4","124.149.152.156",""
"IPv4","124.171.205.28",""
"IPv4","124.53.36.93",""
"IPv4","125.212.217.197",""
"IPv4","125.212.220.60",""
"IPv4","125.212.241.131",""
"IPv4","126.15.142.200",""
"IPv4","128.12.177.59",""
"IPv4","128.14.136.158",""
"IPv4","128.199.104.226",""
"IPv4","128.199.131.168",""
"IPv4","128.199.132.7",""
"IPv4","128.199.133.154",""
"IPv4","128.199.146.186",""
"IPv4","128.199.163.108",""
"IPv4","128.199.180.31",""
"IPv4","128.199.213.157",""
"IPv4","128.199.221.35",""
"IPv4","128.199.222.114",""
"IPv4","128.199.55.207",""
"IPv4","128.208.2.233",""
"IPv4","128.232.18.58",""
"IPv4","128.31.0.13",""
"IPv4","128.31.0.34",""
"IPv4","128.31.0.61",""
"IPv4","128.39.8.29",""
"IPv4","128.69.182.14",""
"IPv4","128.72.208.131",""
"IPv4","129.10.115.230",""
"IPv4","129.10.115.237",""
"IPv4","129.10.115.238",""
"IPv4","129.10.115.239",""
"IPv4","129.10.115.241",""
"IPv4","129.10.115.244",""
"IPv4","129.10.115.246",""
"IPv4","129.10.115.247",""
"IPv4","129.10.115.248",""
"IPv4","129.13.131.140",""
"IPv4","129.233.217.29",""
"IPv4","129.242.219.85",""
"IPv4","129.97.7.34",""
"IPv4","13.114.230.101",""
"IPv4","13.229.211.201",""
"IPv4","13.66.193.19",""
"IPv4","13.72.231.121",""
"IPv4","130.149.14.31",""
"IPv4","130.149.80.199",""
"IPv4","130.180.111.194",""
"IPv4","130.180.23.230",""
"IPv4","130.180.51.242",""
"IPv4","130.180.63.150",""
"IPv4","130.185.178.187",""
"IPv4","130.185.250.214",""
"IPv4","130.185.250.3",""
"IPv4","130.185.250.76",""
"IPv4","130.193.15.186",""
"IPv4","130.193.15.49",""
"IPv4","130.225.254.103",""
"IPv4","130.255.78.232",""
"IPv4","130.63.173.126",""
"IPv4","130.89.149.57",""
"IPv4","131.130.142.98",""
"IPv4","131.188.40.188",""
"IPv4","131.188.40.189",""
"IPv4","131.255.4.118",""
"IPv4","131.255.4.188",""
"IPv4","131.255.4.48",""
"IPv4","132.248.241.5",""
"IPv4","132.248.59.72",""
"IPv4","132.252.186.185",""
