url,class,protocol,Domain Name,Registrar,Updated Date,Creation Date,Registry Expiry Date,Registrant Organization,Country
http://www.maceseorod.ueyjdiks.icu/page1.php,phishing,http,UEYJDIKS.ICU,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-09-02,2022-05-26,2023-05-26,hang zhou shi shang su du ke ji you xian gong si,CN
http://www.maceseorod.ufnj7h.icu/page1.php,phishing,http,UFNJ7H.ICU,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-08-23,2022-01-17,2023-01-17,hang zhou shi shang su du ke ji you xian gong si,CN
http://www.maceseorod.ugu66t.icu/page1.php,phishing,http,UGU66T.ICU,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-08-23,2022-01-17,2023-01-17,hang zhou shi shang su du ke ji you xian gong si,CN
http://www.maceseorod.ui2siu.icu/page1.php,phishing,http,UI2SIU.ICU,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-08-23,2022-01-17,2023-01-17,hang zhou shi shang su du ke ji you xian gong si,CN
http://www.maceseorod.urgggv.shop/page1.php,phishing,http,URGGGV.SHOP,Alibaba Cloud Computing Ltd.,2022-08-23,2021-11-29,2022-11-29,,CN
http://www.maceseorod.usytdje.icu/page1.php,phishing,http,USYTDJE.ICU,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-09-02,2022-05-26,2023-05-26,hang zhou shi shang su du ke ji you xian gong si,CN
http://www.maceseorod.v72weu.icu/page1.php,phishing,http,V72WEU.ICU,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-08-23,2022-01-22,2023-01-22,hang zhou shi shang su du ke ji you xian gong si,CN
http://www.maceseorod.vhvjv7.icu/page1.php,phishing,http,VHVJV7.ICU,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-08-23,2022-01-17,2023-01-17,hang zhou shi shang su du ke ji you xian gong si,CN
http://www.maceseorod.vp5lju.icu/page1.php,phishing,http,VP5LJU.ICU,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-08-23,2022-01-22,2023-01-22,hang zhou shi shang su du ke ji you xian gong si,CN
http://www.maceseorod.w5p6z9.icu/page1.php,phishing,http,W5P6Z9.ICU,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-08-23,2022-01-08,2023-01-08,hang zhou shi shang su du ke ji you xian gong si,CN
