216.70.120.0/21
50.87.0.0/16
66.96.128.0/18
34.96.0.0/12
46.165.254.208/30
23.253.0.0/18
13.248.128.0/18
199.191.50.0/23
216.70.64.0/18
72.47.192.0/18
66.235.200.0/24
66.235.195.0/24
66.235.196.0/22
212.33.224.0/20
209.197.2.0/23
202.162.240.0/21
23.102.0.0/16
23.111.128.0/18
23.227.164.0/23
69.89.16.0/20
167.99.0.0/16
15.197.128.0/17
3.33.128.0/17
104.16.0.0/13
51.195.0.0/16
89.187.184.0/22
177.54.145.0/24
35.190.247.0/24
35.222.0.0/15
224.0.0.0/4
11.0.0.0/8
11.0.0.0/13
11.0.0.0/24
23.111.160.0/20
198.54.112.0/20
104.20.224.0/20
143.204.96.0/21
151.101.128.0/22
159.89.80.0/20
184.30.24.0/22
34.120.0.0/14
35.200.0.0/14
104.19.144.0/20
172.67.0.0/16
34.240.0.0/12
